admin_name,district,division,pixel_count,mean_lst,min_lst,max_lst,std_lst
Ward No-90,Shyampur,,1060,34.3,31.54,37.39,1.11
Ward No-58,Hazaribagh,,1656,34.22,31.58,38.66,1.35
Ward No-60,Lalbagh,,479,34.21,32.34,37.03,1.02
Ward No-88,Kadamtali,,491,34.03,32.02,37.2,0.91
Ward No-87,Shyampur,,731,34.02,32.15,35.48,0.68
Ward No-65,Chak Bazar,,611,34.02,30.85,36.35,0.98
Ward No-84,Jatrabari,,798,33.95,32.35,36.22,0.72
Ward No-48 (Part),Hazaribagh,,2974,33.92,26.46,37.81,1.6
Ward No-92,Lalbagh,,790,33.81,32.28,36.86,0.71
Ward No-91,Lalbagh,,1357,33.75,30.1,36.22,0.71
Ward No-76 (Part),Jatrabari,,63,33.71,32.88,34.75,0.48
Ward No-05,Pallabi,,1530,33.67,31.89,35.88,0.75
Ward No-20 (Part),Tejgaon Ind. Area,,73,33.66,32.98,34.53,0.37
Ward No-66 (Part),Chak Bazar,,280,33.64,31.34,36.21,0.88
Ward No-31,Motijheel,,1087,33.62,30.89,36.45,1.14
Ward No-38 (Part),Tejgaon Ind. Area,,379,33.5,32.03,35.39,1.0
Ward No-86,Jatrabari,,883,33.42,27.79,37.37,1.37
Ward No-89,Kadamtali,,726,33.36,31.32,35.43,0.8
Ward No-85,Jatrabari,,1302,33.31,28.89,37.46,1.52
Ward No-83,Shyampur,,759,33.29,30.11,36.41,0.97
Sultanganj,Kamrangir Char,,1796,33.18,26.45,35.49,2.08
Ward No-30,Sabujbagh,,466,33.09,30.67,36.84,1.0
Ward No-03,Pallabi,,1095,33.09,31.44,35.25,0.65
Ward No-75,Sutrapur,,584,33.09,31.63,36.84,0.84
Subhadya (Part),Keraniganj,,14193,33.03,25.89,39.01,2.14
Ward No-74,Sutrapur,,469,33.02,32.09,34.31,0.52
Ward No-37,Tejgaon Ind. Area,,3204,33.02,26.08,37.2,2.13
Ward No-43,Adabor,,2026,33.02,29.8,35.62,0.94
Ward No-46,Adabor,,520,32.96,31.41,34.99,0.9
Ward No-09,Darus Salam,,2263,32.95,27.45,37.14,1.4
Ward No-10,Darus Salam,,2051,32.95,29.1,36.11,1.05
Ward No-16,Kafrul,,4301,32.92,28.13,36.21,1.16
Ward No-81,Gendaria,,660,32.88,31.31,35.14,0.89
Ward No-71 (Part),Bangshal,,276,32.82,32.18,34.01,0.41
Ward No-47(part),Mohammadpur,,1089,32.81,29.94,35.97,1.33
Ward No-32,Motijheel,,1166,32.77,28.57,36.12,0.97
Ward No-61,Lalbagh,,445,32.74,31.38,35.04,0.66
Ward No-98 (rest. Area),Biman Bandar,,6133,32.72,28.09,36.01,1.29
