YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,Pre-monsoon,Monsoon,Post-monsoon,Dry
2004,3.60,3.91,18.51,228.94,133.23,355.46,414.13,217.05,594.26,193.56,1.04,1.02,2164.71,380.68,1580.90,194.60,8.53
2005,4.76,8.20,151.77,94.14,246.69,123.96,412.40,352.46,318.68,322.98,2.01,0.70,2038.75,492.60,1207.50,324.99,13.66
2006,0.02,7.79,3.34,165.77,304.84,343.71,258.19,226.47,376.68,73.52,4.27,0.78,1765.38,473.95,1205.05,77.79,8.59
2007,0.00,40.16,10.89,226.97,219.51,567.31,689.75,282.05,198.26,247.47,79.50,0.00,2561.87,457.37,1737.37,326.97,40.16
2008,32.79,16.87,38.98,62.90,186.78,309.90,297.46,272.73,174.79,197.86,0.16,6.05,1597.27,288.66,1054.88,198.02,55.71
2009,0.00,10.95,36.96,52.16,241.39,276.90,419.78,408.29,213.16,115.11,22.58,5.57,1802.85,330.51,1318.13,137.69,16.52
2010,0.03,19.39,40.10,107.35,312.65,387.51,168.22,274.20,191.14,207.69,7.90,62.82,1779.00,460.10,1021.07,215.59,82.24
2011,0.28,1.08,41.65,91.24,295.57,269.24,237.59,464.83,178.37,41.28,0.15,0.19,1621.47,428.46,1150.03,41.43,1.55
2012,11.96,17.78,12.86,224.79,146.09,241.16,273.72,279.96,163.10,71.35,59.82,4.49,1507.08,383.74,957.94,131.17,34.23
2013,0.18,7.58,23.92,77.75,452.70,297.74,223.42,222.98,189.87,165.62,0.00,2.10,1663.86,554.37,934.01,165.62,9.86
2014,0.02,15.85,16.91,70.69,245.41,432.78,223.85,369.86,264.75,57.56,0.03,5.83,1703.54,333.01,1291.24,57.59,21.70
2015,4.80,23.99,20.38,254.89,219.38,410.12,607.88,318.42,212.91,66.62,2.12,1.55,2143.06,494.65,1549.33,68.74,30.34
2016,45.12,38.94,67.56,145.31,494.06,216.86,545.60,384.14,319.24,166.70,122.66,0.69,2546.88,706.93,1465.84,289.36,84.75
2017,3.11,15.00,235.76,546.72,389.06,700.69,758.19,880.21,541.88,411.47,18.69,129.76,4630.54,1171.54,2880.97,430.16,147.87
2018,5.47,29.57,62.42,411.15,625.66,483.30,480.26,279.99,204.45,71.14,21.62,31.26,2706.29,1099.23,1448.00,92.76,66.30
2019,0.00,86.80,39.26,130.47,437.18,495.50,747.85,369.15,316.40,298.76,69.06,11.80,3002.23,606.91,1928.90,367.82,98.60
2020,48.81,2.72,56.29,258.80,520.54,445.76,451.89,283.20,364.96,393.90,38.05,1.99,2866.91,835.63,1545.81,431.95,53.52
2021,3.21,0.05,28.36,89.44,360.27,472.47,412.23,401.79,230.31,213.72,17.75,107.66,2337.26,478.07,1516.80,231.47,110.92
2022,23.90,46.05,19.98,119.02,465.49,438.57,174.30,278.34,356.79,328.12,4.14,8.14,2262.84,604.49,1248.00,332.26,78.09
2023,9.47,4.52,130.47,105.53,300.34,453.92,295.16,504.16,318.93,269.46,97.06,63.88,2552.90,536.34,1572.17,366.52,77.87
