-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2004 through 12/31/2023 in LST
Location: Latitude  23.81   Longitude 90.41 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2004,3.6,3.91,18.51,228.94,133.23,355.46,414.13,217.05,594.26,193.56,1.04,1.02,2164.71
PRECTOTCORR_SUM,2005,4.76,8.2,151.77,94.14,246.69,123.96,412.4,352.46,318.68,322.98,2.01,0.7,2038.75
PRECTOTCORR_SUM,2006,0.02,7.79,3.34,165.77,304.84,343.71,258.19,226.47,376.68,73.52,4.27,0.78,1765.38
PRECTOTCORR_SUM,2007,0.0,40.16,10.89,226.97,219.51,567.31,689.75,282.05,198.26,247.47,79.5,0.0,2561.87
PRECTOTCORR_SUM,2008,32.79,16.87,38.98,62.9,186.78,309.9,297.46,272.73,174.79,197.86,0.16,6.05,1597.27
PRECTOTCORR_SUM,2009,0.0,10.95,36.96,52.16,241.39,276.9,419.78,408.29,213.16,115.11,22.58,5.57,1802.85
PRECTOTCORR_SUM,2010,0.03,19.39,40.1,107.35,312.65,387.51,168.22,274.2,191.14,207.69,7.9,62.82,1779.0
PRECTOTCORR_SUM,2011,0.28,1.08,41.65,91.24,295.57,269.24,237.59,464.83,178.37,41.28,0.15,0.19,1621.47
PRECTOTCORR_SUM,2012,11.96,17.78,12.86,224.79,146.09,241.16,273.72,279.96,163.1,71.35,59.82,4.49,1507.08
PRECTOTCORR_SUM,2013,0.18,7.58,23.92,77.75,452.7,297.74,223.42,222.98,189.87,165.62,0.0,2.1,1663.86
PRECTOTCORR_SUM,2014,0.02,15.85,16.91,70.69,245.41,432.78,223.85,369.86,264.75,57.56,0.03,5.83,1703.54
PRECTOTCORR_SUM,2015,4.8,23.99,20.38,254.89,219.38,410.12,607.88,318.42,212.91,66.62,2.12,1.55,2143.06
PRECTOTCORR_SUM,2016,45.12,38.94,67.56,145.31,494.06,216.86,545.6,384.14,319.24,166.7,122.66,0.69,2546.88
PRECTOTCORR_SUM,2017,3.11,15.0,235.76,546.72,389.06,700.69,758.19,880.21,541.88,411.47,18.69,129.76,4630.54
PRECTOTCORR_SUM,2018,5.47,29.57,62.42,411.15,625.66,483.3,480.26,279.99,204.45,71.14,21.62,31.26,2706.29
PRECTOTCORR_SUM,2019,0.0,86.8,39.26,130.47,437.18,495.5,747.85,369.15,316.4,298.76,69.06,11.8,3002.23
PRECTOTCORR_SUM,2020,48.81,2.72,56.29,258.8,520.54,445.76,451.89,283.2,364.96,393.9,38.05,1.99,2866.91
PRECTOTCORR_SUM,2021,3.21,0.05,28.36,89.44,360.27,472.47,412.23,401.79,230.31,213.72,17.75,107.66,2337.26
PRECTOTCORR_SUM,2022,23.9,46.05,19.98,119.02,465.49,438.57,174.3,278.34,356.79,328.12,4.14,8.14,2262.84
PRECTOTCORR_SUM,2023,9.47,4.52,130.47,105.53,300.34,453.92,295.16,504.16,318.93,269.46,97.06,63.88,2552.9
